6.17:00000, 00100, 00000:00000, 00100, 00100:Ceres Elevator
3.90:00000, 01100, 01000:00000, 11100, 10000:Ceres
5.01:00000, 11100, 00000:00000, 00100, 11100:Ceres Hallway
3.39:00000, 01100, 11000:00000, 11100, 10000:
3.19:00000, 11100, 00000:00000, 11000, 00000:Ceres Hallway
28.62:00000, 11100, 00000:00000, 00000, 00000:Cridley
3.29:00000, 11100, 00000:00000, 11110, 00000:
3.49:00000, 11111, 10000:00000, 01111, 11000:Ceres Testing
6.62:00000, 00111, 11100:00111, 11100, 00000:Ceres Stairs
4.32:00011, 11110, 10000:00001, 01111, 01000:
8.69:00000, 00111, 00100:00100, 00100, 00000:Ceres Elevator
15.58:00000, 00100, 00000:00000, 00111, 00000:Landing Site
11.79:00000, 00111, 00000:00000, 00100, 00100:
9.59:00000, 00100, 00100:00000, 00100, 00100:Fall
6.20:00000, 01100, 01000:00000, 11100, 00000:Pit Room
3.30:00000, 11100, 00000:00000, 11100, 00000:
25.71:00000, 00000, 00000:00000, 11100, 00000:
5.19:00000, 11000, 00000:00000, 00100, 11100:
9.49:00000, 00110, 11110:00000, 00110, 11110:
5.69:00000, 01100, 11100:01100, 11100, 00000:
11.38:00110, 11110, 00000:00000, 00000, 00000:
3.80:00000, 11100, 00000:00000, 11100, 00000:
8.81:00000, 11110, 00000:00000, 01111, 01000:
24.29:00000, 00111, 00100:00100, 00100, 00100:
17.78:00100, 00100, 00100:10000, 10100, 10100:
5.31:00000, 01100, 01000:00000, 11100, 00000:
47.50:00000, 11000, 00000:00000, 11100, 00000:
3.89:00000, 11110, 00000:00000, 01111, 01000:
16.10:10000, 10111, 10100:00010, 00111, 00000:
15.20:00001, 00111, 00000:00000, 00110, 00000:
9.33:00000, 00111, 00000:00000, 00100, 00100:
5.80:00000, 00110, 00010:00000, 00111, 00000:
3.30:00000, 00111, 00000:00000, 00111, 00000:
13.51:00000, 00000, 00000:00000, 00100, 00100:
2.80:00000, 01100, 01000:00000, 01100, 01000:Monster Party
2.80:00000, 00110, 00100:00000, 00110, 00100:
19.49:00000, 01100, 01000:00000, 01111, 01111:
5.10:00000, 00111, 00111:00000, 00100, 00100:
14.02:00000, 01100, 01000:00000, 11100, 00000:
39.11:00000, 11100, 00000:01000, 01100, 01100:
13.19:10000, 11100, 11000:00000, 11100, 00000:
9.00:00000, 11100, 00000:00000, 11100, 00000:
10.21:00000, 11100, 00000:00000, 00100, 00100:
6.69:00000, 01100, 01000:00000, 11100, 10000:
11.11:00000, 11100, 00000:11000, 01100, 00000:
10.17:10000, 11100, 00000:10000, 11100, 00000:
10.31:11000, 01110, 00000:00000, 11100, 01110:
1.29:00000, 00100, 00000:00000, 00100, 00000:
2.00:00000, 00000, 00000:00000, 01100, 00000:
1.91:00000, 11100, 00000:00000, 11100, 00000:
8.79:00000, 11000, 00000:01000, 11100, 00000:
7.82:10000, 11100, 00000:00000, 01100, 11000:
5.20:00000, 01000, 11000:00000, 11100, 11100:
8.58:00000, 11100, 11000:00000, 11100, 00000:
7.99:00000, 11100, 00000:00000, 11000, 00000:
24.41:00000, 11100, 00000:00000, 00000, 00000:
12.73:00000, 11100, 11000:00000, 11100, 11000:
3.48:00000, 11110, 01100:00000, 11111, 00110:
4.62:00000, 11111, 00011:00000, 11111, 00001:Pre-Kraid
7.41:00000, 11111, 00000:00000, 11111, 11000:Mini-Kraid's Pad
7.49:00000, 11111, 11100:01111, 11110, 00000:Warehouse
4.40:00000, 01111, 11110:00000, 10111, 11111:Warehouse
13.09:00000, 01111, 11111:00000, 01111, 11111:Kraid E-tank
4.99:00000, 11111, 11111:11111, 11111, 00000:
7.57:01111, 11111, 00000:00011, 00111, 00000:
17.81:00000, 00000, 00000:00000, 00100, 00100:
8.10:00000, 00110, 00010:00000, 00100, 00111:
12.39:00000, 00110, 00011:00000, 00110, 00011:
24.00:00000, 01100, 00111:11000, 01110, 00010:
5.78:10000, 11100, 00100:00100, 00100, 00100:
7.41:01000, 01100, 01000:11100, 10100, 00000:
10.99:11000, 01100, 00000:00000, 01100, 11100:Cathedral
10.91:00000, 11100, 11000:00000, 11100, 00000:
17.59:00000, 11100, 00000:01100, 01000, 00000:Bubble Mountain
6.81:01100, 01100, 00000:11100, 00100, 00000:
11.70:11000, 01100, 00000:00000, 11100, 00000:
10.98:00000, 11100, 00000:00000, 11100, 00000:
7.81:00000, 11110, 00000:11000, 01111, 00000:Speed Booster
11.31:11100, 00111, 00000:11000, 11100, 00111:
3.17:01100, 01110, 00011:11000, 01100, 01110:Bubble Mountain
5.00:10000, 11100, 11100:00000, 10100, 11100:
17.80:00000, 01100, 11000:00100, 11100, 00000:Double Chamber
10.10:00100, 11000, 00000:01000, 11000, 00000:
9.57:01000, 11100, 00000:00111, 01111, 11000:
5.59:00011, 10111, 11100:10111, 11100, 11100:
15.30:11011, 01110, 01110:00000, 00110, 11111:Bubble Mountain
2.90:00000, 00111, 11111:00000, 00111, 11111:
4.89:00000, 00111, 11111:00000, 10111, 11110:
3.19:00000, 11111, 01111:00000, 11111, 01111:
7.10:10000, 11111, 00111:00111, 00110, 00100:
4.59:00011, 00111, 00010:00000, 00111, 00000:
3.59:00000, 00111, 00000:00000, 00111, 00000:
7.60:00000, 00111, 00000:01111, 01100, 00000:
9.60:01111, 01000, 00000:11111, 11100, 00000:
6.01:01111, 01110, 00000:00000, 00111, 00111:
11.29:00000, 01111, 01110:00000, 11111, 11100:
2.41:00000, 11111, 11000:00000, 11111, 11000:
6.50:00000, 11111, 11100:00000, 11111, 11100:
2.12:00000, 11111, 11000:00000, 11111, 11000:
6.91:00000, 11111, 11100:00000, 11111, 11100:
3.91:00000, 11111, 11000:00000, 11111, 11000:
7.22:00000, 11111, 11100:00000, 11111, 11100:
2.50:00000, 11111, 11000:00000, 11111, 11000:
13.20:00000, 11111, 11100:00000, 11111, 11100:
5.00:00000, 11111, 11000:00011, 11111, 00010:
11.21:00111, 11110, 00100:00000, 00000, 00000:
3.80:00000, 00011, 00111:00011, 00111, 00000:
3.02:00000, 11100, 00000:00000, 11100, 00000:
1.80:00000, 01110, 00000:00000, 01110, 00000:
1.50:00000, 00111, 00000:00000, 00111, 00000:
6.82:00000, 11100, 01110:00000, 11110, 00111:
6.10:00000, 11111, 10011:00000, 01111, 01001:
25.60:00000, 00111, 00100:00100, 00000, 00000:
5.81:00100, 00100, 00000:00000, 11000, 00000:
6.41:00000, 11100, 00000:00000, 00100, 00100:
18.51:00000, 00110, 00010:00000, 01110, 00010:
21.92:00000, 11100, 00100:00000, 00000, 00000:
6.59:00000, 00100, 00000:00000, 00100, 00000:
23.97:00100, 00100, 00000:01000, 11100, 00000:Attic
10.90:10000, 11100, 00000:00000, 11100, 00000:
4.50:00000, 11100, 00000:00000, 11110, 00000:
2.40:00000, 11111, 00000:00000, 11111, 00000:
7.49:00000, 11110, 00000:00000, 11000, 00000:
3.28:00000, 11100, 00000:00000, 11100, 00000:
13.30:00000, 11100, 00000:00000, 00100, 00100:
12.79:00000, 01100, 01000:00000, 11100, 10000:
84.18:00000, 00000, 00000:00000, 00000, 00000:
7.81:00000, 11110, 10000:00000, 00111, 00100:
8.41:00111, 00100, 00100:00100, 00100, 00100:
