6.11:00000, 00100, 00000:00000, 00100, 00100:Ceres Elevator
4.10:00000, 01100, 01000:00000, 11100, 10000:Ceres
4.99:00000, 11100, 00000:00000, 00100, 11100:Ceres Hallway
3.50:00000, 01100, 11000:00000, 11100, 10000:
3.30:00000, 11100, 00000:00000, 11000, 00000:Ceres Hallway
28.61:00000, 11100, 00000:00000, 00000, 00000:Cridley
3.30:00000, 11100, 00000:00000, 11110, 00000:
3.40:00000, 11111, 10000:00000, 01111, 11000:Ceres Testing
7.01:00000, 00111, 11100:00111, 11000, 00000:Ceres Stairs
4.50:00111, 11100, 00000:00001, 01111, 01000:
11.50:00000, 00111, 00100:00100, 00100, 00000:Ceres Elevator
15.60:00000, 00100, 00000:00000, 00111, 00000:Landing Site
11.61:00000, 00111, 00000:00000, 00100, 00100:
9.11:00000, 00100, 00100:00000, 00100, 00100:Fall
7.68:00000, 01100, 01000:00000, 11100, 00000:Pit Room
4.00:00000, 11000, 00000:00000, 11000, 00000:
26.40:00000, 11100, 00000:00000, 11100, 00000:
5.70:00000, 11000, 00000:00000, 00100, 11100:
10.40:00000, 00110, 11110:00000, 00110, 11110:
5.98:00000, 01100, 11100:01100, 11100, 00000:
11.39:00110, 11110, 00000:00000, 00000, 00000:
3.90:00000, 11100, 00000:00000, 11100, 00000:
9.51:00000, 11110, 00000:00000, 01111, 01000:
23.69:00000, 00111, 00100:00100, 00100, 00100:
23.02:00100, 00100, 00100:10000, 10100, 10100:
5.30:00000, 01100, 01000:00000, 11100, 00000:
53.49:00000, 11000, 00000:00000, 11100, 00000:
4.40:00000, 11110, 00000:00000, 01111, 01000:
15.80:10000, 10111, 10100:00010, 00111, 00000:
15.29:00001, 00111, 00000:00000, 00110, 00000:
9.29:00000, 00111, 00000:00000, 00100, 00100:
5.69:00000, 00110, 00010:00000, 00111, 00000:
3.30:00000, 00111, 00000:00000, 00111, 00000:
13.79:00000, 00000, 00000:00000, 00100, 00100:
19.69:00000, 01100, 01000:00000, 01111, 01111:Monster Party
5.39:00000, 00111, 00111:00000, 00100, 00100:
14.19:00000, 01100, 01000:00000, 11000, 00000:
38.60:00000, 11100, 00000:01000, 01100, 01100:
13.73:10000, 11100, 11000:00000, 11100, 00000:
10.80:00000, 11100, 00000:00000, 11100, 00000:
9.71:00000, 11100, 00000:00000, 00100, 00100:
9.49:00000, 01100, 01000:00000, 11100, 10000:
9.28:00000, 11100, 00000:11000, 01000, 00000:
9.79:11000, 01100, 00000:10000, 11000, 00000:
10.71:10000, 11100, 00000:00000, 11100, 01110:
1.18:00000, 00100, 00000:00000, 00100, 00000:
1.91:00000, 01100, 00000:00000, 01100, 00000:
1.70:00000, 11100, 00000:00000, 11100, 00000:
9.01:00000, 00100, 00000:01000, 11100, 00000:
7.99:10000, 11100, 00000:00000, 01100, 11000:
5.09:01100, 11100, 00000:00000, 11100, 11100:
8.39:00000, 11100, 11000:00000, 11100, 00000:
6.89:00000, 11100, 00000:00000, 11100, 00000:
24.10:00000, 00000, 00000:00000, 00000, 00000:
13.48:00000, 11100, 11000:00000, 11100, 11000:
3.38:00000, 11110, 01100:00000, 11111, 00110:
5.60:00000, 11111, 00011:00000, 11111, 00001:Pre-Kraid
8.20:00000, 11111, 00000:00000, 11111, 11000:Mini-Kraid's Pad
5.61:00000, 11111, 11100:01111, 11110, 00000:Warehouse
4.60:00000, 01111, 11110:00000, 10111, 11111:Warehouse
14.79:00000, 01111, 11111:00000, 01111, 11111:Kraid E-tank
6.28:00000, 11111, 11111:11111, 11111, 00000:
6.79:01111, 11111, 00000:00011, 00111, 00000:
16.31:00000, 00000, 00000:00000, 00100, 00100:
8.21:00000, 00110, 00010:00000, 00100, 00111:
12.20:00000, 00110, 00011:00000, 00110, 00011:
23.11:00000, 01100, 00111:11000, 01110, 00010:
10.09:10000, 11100, 00100:00100, 00100, 00100:
9.40:01000, 01100, 01000:11100, 10100, 00000:
9.61:11000, 01100, 00000:00000, 01100, 11100:Cathedral
10.41:00000, 11100, 11000:00000, 11100, 00000:
13.70:00000, 11100, 00000:01100, 01100, 00000:Bubble Mountain
5.71:11000, 11100, 00000:11100, 00000, 00000:
11.80:11100, 00100, 00000:00000, 11100, 00000:
10.39:00000, 11100, 00000:00000, 11100, 00000:
8.01:00000, 11110, 00000:11000, 01111, 00000:Speed Booster
11.30:11100, 00111, 00000:11000, 11100, 00111:
3.01:01100, 01110, 00011:11000, 01100, 01110:Bubble Mountain
4.99:10000, 11100, 11100:00000, 10100, 11100:
